wave,flux
0,0.26162922
1,0.25778997
2,0.16627674
3,0.051586688
4,0.1058638
5,0.019777944
6,0.040957633
7,0.0524182
8,0.05672177
9,0.08696003
10,0.07154707
11,0.024311787
12,0.08076671
13,0.0925041
14,0.08975178
15,0.13108954
16,0.1515733
17,0.17834353
18,0.22927506
19,0.17796575
20,0.19363831
21,0.29097798
22,0.19325556
23,0.16637729
24,0.14942116
25,0.2023551
26,0.2393128
27,0.21371801
28,0.21643247
29,0.16032776
30,0.11151328
31,0.05331015
32,0.03897665
33,0.077884845
34,0.08619048
35,0.11162107
36,0.11397602
37,0.061721463
38,0.06584142
39,0.14672603
40,0.17027706
41,0.25196394
42,0.28003684
43,0.2893345
44,0.3585285
45,0.42512715
46,0.36615804
47,0.45957413
48,0.43508154
49,0.34442127
50,0.279338
51,0.2607404
52,0.25660074
53,0.25147733
54,0.3157005
55,0.31197375
56,0.32788786
57,0.38984412
58,0.31810978
59,0.2983223
60,0.33276427
61,0.3405608
62,0.33398062
63,0.36375892
64,0.41787115
65,0.40943086
66,0.3991419
67,0.42096448
68,0.41010156
69,0.3460961
70,0.3360696
71,0.40939432
72,0.33177435
73,0.24760611
74,0.20972076
75,0.14427511
76,0.019072251
77,-0.019750707
78,-0.021863798
79,-0.007386157
80,0.003665616
81,0.0036958922
82,-0.001109633
83,-0.037733953
84,0.03533182
85,0.07103995
86,0.07024025
87,0.10834517
88,0.18390165
89,0.31016552
90,0.31408495
91,0.30378288
92,0.33898962
93,0.3689412
94,0.32751003
95,0.27282336
96,0.21717381
97,0.20364514
98,0.22216193
99,0.2478666
100,0.2814756
101,0.2897476
102,0.2059324
103,0.11122137
104,0.062116276
105,0.04841141
106,0.030287135
107,0.02434688
108,0.11171033
109,0.11145944
110,0.07703286
111,0.11976614
112,0.16848093
113,0.19735433
114,0.19613947
115,0.24694715
116,0.27632317
117,0.23915367
118,0.24651068
119,0.21682307
120,0.14634174
121,0.076853186
122,0.03067771
123,0.015359673
124,0.026006844
125,0.012027605
126,0.034704886
127,0.0027695824
128,-0.015668044
129,0.02567686
130,0.01902781
131,0.094282195
132,0.11005906
133,0.09451268
134,0.080167234
135,0.074697115
136,0.07858423
137,0.04627216
138,0.06999293
139,0.06308377
140,0.069509976
141,0.1095635
142,0.059248835
143,0.05045233
144,0.067627996
145,0.11963719
146,0.1413584
147,0.09793307
148,0.06551809
149,0.038863912
150,0.050686333
151,0.08468802
152,0.09566246
153,0.068922564
154,0.0467542
155,0.04099674
156,0.007835284
157,0.014667409
158,0.031258408
159,0.013991531
160,0.016209729
161,0.030977026
162,0.020454274
163,0.004511999
164,0.020855064
165,0.043569997
166,-0.0027140996
167,-0.006333682
168,0.0041535613
169,0.020350369
170,0.013972469
171,-0.01007999
172,0.0070265676
173,0.010480246
174,0.014180261
175,0.009155184
176,0.01949203
177,0.03711194
178,-0.0020772063
179,-0.015024323
180,-0.0060246745
181,-0.008894228
182,-0.0023426441
183,0.019259531
184,0.002557959
185,0.00451795
186,-0.00022649721
187,0.0010978113
188,0.009605767
189,0.004905311
190,-0.020216282
191,-0.0061575244
192,0.0015758212
193,-0.010015264
194,-0.017964646
195,0.00045347048
196,0.02735833
197,0.003896747
198,0.0020351782
199,0.004734014
200,0.00042682316
201,-0.005882081
202,-0.019342026
203,-0.03217808
204,0.0012715129
205,0.00047520362
206,-0.006755563
207,0.019009523
208,0.005017744
209,0.0010387094
210,0.0070115733
211,0.011577066
212,0.019137323
213,0.03184439
214,0.031407736
215,0.013724573
216,0.0029719656
217,0.022011457
218,0.038956128
219,0.027739197
220,0.025157023
221,0.02874086
222,0.02220824
223,0.013083131
224,0.014956865
225,0.017857866
226,-0.0023352623
227,0.017222216
228,0.04450155
229,0.040405612
230,0.04042099
231,0.06096475
232,0.04358241
233,0.081223875
234,0.044641186
235,0.0591483
236,0.11173333
237,0.13292758
238,0.18093695
239,0.16521786
240,0.17392139
241,0.16726086
242,0.15671018
243,0.17390312
244,0.18465392
245,0.21331681
246,0.2019466
247,0.22081116
248,0.24389341
249,0.23654
250,0.26750147
251,0.2218707
252,0.18452612
253,0.22363044
254,0.27692536
255,0.27517742
256,0.27294198
257,0.27670443
258,0.28466296
259,0.30288598
260,0.3247341
261,0.33030695
262,0.31174347
263,0.31901503
264,0.3423714
265,0.32105064
266,0.28515896
267,0.27939728
268,0.2724406
269,0.3337973
270,0.3125791
271,0.28742748
272,0.27704662
273,0.24641676
274,0.23172267
275,0.21453169
276,0.16063656
277,0.09502959
278,0.046859626
279,0.029997692
280,0.052634843
281,0.1285569
282,0.18334839
283,0.22822435
284,0.20515412
285,0.14324172
286,0.2363997
287,0.20462647
288,0.27444822
289,0.3213706
290,0.33489546
291,0.3719883
292,0.3355591
293,0.32915524
294,0.32388574
295,0.35266784
296,0.40180305
297,0.42249158
298,0.41170618
299,0.41031578
300,0.42412952
301,0.37596124
302,0.34646204
303,0.40267825
304,0.3903468
305,0.38857257
306,0.39180228
307,0.3941597
308,0.4162866
309,0.45193705
310,0.436621
311,0.4069347
312,0.41553944
313,0.4262323
314,0.42581183
315,0.40059462
316,0.2946812
317,0.18656176
318,0.19490823
319,0.24185921
320,0.2421312
321,0.21386474
322,0.24873076
323,0.26617536
324,0.33270577
325,0.36506945
326,0.3281987
327,0.26456955
328,0.21915594
329,0.23519725
330,0.23756987
331,0.18397807
332,0.107193545
333,0.05286017
334,0.01863204
335,0.046952877
336,0.058082167
337,0.09959723
338,0.1607294
339,0.18114619
340,0.16807209
341,0.15420221
342,0.20605075
343,0.24398741
344,0.23493671
345,0.20705108
346,0.16754124
347,0.13266408
348,0.12350754
349,0.08872852
350,0.07233248
351,0.15130359
352,0.26846498
353,0.31498748
354,0.33854336
355,0.34921154
356,0.3471069
357,0.34414756
358,0.3511473
359,0.34616935
360,0.31888062
361,0.2945769
362,0.28174207
363,0.2888006
364,0.33452296
365,0.31644464
366,0.3426236
367,0.35695747
368,0.3487864
369,0.3594109
370,0.3643744
371,0.36263564
372,0.35535273
373,0.35222846
374,0.37148815
375,0.3900066
376,0.3341181
377,0.30719018
378,0.3432237
379,0.3505742
380,0.33825722
381,0.35837442
382,0.34792426
383,0.3413578
384,0.33747572
385,0.33220297
386,0.31643867
387,0.28889802
388,0.26359725
389,0.208727
390,0.13131347
391,0.048146285
392,0.015190357
393,0.05704527
394,0.098726705
395,0.18804139
396,0.24327157
397,0.22101083
398,0.17938033
399,0.18717146
400,0.20255175
401,0.21128456
402,0.20353262
403,0.21000351
404,0.24579658
405,0.28561005
406,0.28811783
407,0.2906663
408,0.29144746
409,0.28880855
410,0.28692636
411,0.2920604
412,0.3063054
413,0.31820098
414,0.28693518
415,0.25730193
416,0.22025427
417,0.15500441
418,0.14689144
419,0.19560811
420,0.2675632
421,0.3259405
422,0.33567795
423,0.31130278
424,0.33647794
425,0.34193748
426,0.3543568
427,0.31891772
428,0.2508178
429,0.23059025
430,0.27193254
431,0.31135765
432,0.3202836
433,0.3298303
434,0.3374778
435,0.32877663
436,0.3384387
437,0.3153372
438,0.29478243
439,0.30947918
440,0.31707543
441,0.27828285
442,0.2703361
443,0.2873949
444,0.3123033
445,0.28827453
446,0.23063312
447,0.2100763
448,0.23735327
449,0.23548733
450,0.18308008
451,0.09832322
452,0.029267084
453,0.019687926
454,0.06469468
455,0.15334433
456,0.22890984
457,0.22577421
458,0.16380717
459,0.13201818
460,0.18173191
461,0.25411978
462,0.30297884
463,0.32859498
464,0.34808257
465,0.3643983
466,0.35228503
467,0.31266037
468,0.25047114
469,0.20843075
470,0.20071541
471,0.21916549
472,0.26943323
473,0.2848609
474,0.29386854
475,0.27428898
476,0.2532022
477,0.2778914
478,0.30285808
479,0.32722923
480,0.33449718
481,0.33240497
482,0.33756202
483,0.35062298
484,0.34297946
485,0.31148896
486,0.2879323
487,0.2699678
488,0.27726015
489,0.30587235
490,0.26365075
491,0.23864481
492,0.20718697
493,0.18120609
494,0.18743739
495,0.22269973
496,0.24552117
497,0.29193956
498,0.30671892
499,0.30788255
500,0.3196036
501,0.33287764
502,0.3302105
503,0.34358773
504,0.33787897
505,0.33092105
506,0.33169475
507,0.32884252
508,0.33121347
509,0.33425122
510,0.31177056
511,0.29965416
512,0.28626755
513,0.22930895
514,0.16982731
515,0.14857349
516,0.15524693
517,0.21118082
518,0.27140233
519,0.25039902
520,0.16376497
521,0.10302855
522,0.123838514
523,0.21123537
524,0.3009694
525,0.34056374
526,0.3497546
527,0.28963506
528,0.25012794
529,0.20913495
530,0.16711743
531,0.1595459
532,0.15071164
533,0.15935692
534,0.22213185
535,0.28311527
536,0.298119
537,0.2876403
538,0.30287567
539,0.31355217
540,0.31550008
541,0.29940656
542,0.26785213
543,0.23714323
544,0.22570466
545,0.2740863
546,0.29467583
547,0.2953168
548,0.30894104
549,0.3146832
550,0.23993672
551,0.15516473
552,0.1272495
553,0.17166229
554,0.23622583
555,0.25192407
556,0.23328488
557,0.23274396
558,0.21144338
559,0.20912147
560,0.22727036
561,0.23110926
562,0.25550553
563,0.23607153
564,0.1737309
565,0.10618299
566,0.07135304
567,0.08761961
568,0.13983543
569,0.19249873
570,0.2447373
571,0.26916972
572,0.2545313
573,0.22436383
574,0.2067041
575,0.17670733
576,0.16395263
577,0.17830107
578,0.22937238
579,0.2934743
580,0.27255723
581,0.24976653
582,0.23241761
583,0.23611832
584,0.2634405
585,0.28970185
586,0.2905199
587,0.2926686
588,0.22931588
589,0.1227336
590,0.04923014
591,0.053497095
592,0.0803337
593,0.12782493
594,0.17822103
595,0.23137945
596,0.2513036
597,0.21153481
598,0.20351377
599,0.2192058
600,0.25972524
601,0.2805156
602,0.27597335
603,0.28367049
604,0.29819104
605,0.30326828
606,0.31361797
607,0.3176871
608,0.31646532
609,0.32065693
610,0.30735767
611,0.29332444
612,0.25133657
